hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
J9o,103,0,2,0,9,7,2,offsuit,0,1,0,0,0,0.5,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.75,0.5833333333333334,0.0
J9s,104,1,2,0,9,7,2,suited,0,1,0,0,0,0.5,1,0.5,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.75,0.5833333333333334,0.8181818181818182
JJo,105,0,0,1,9,9,0,pair,0,2,0,0,1,1.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.75,0.75,0.0
JTo,106,0,1,0,9,8,1,offsuit,0,2,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.75,0.6666666666666666,0.0
JTs,107,1,1,0,9,8,1,suited,0,2,0,0,0,1.0,2,1.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.75,0.6666666666666666,0.9090909090909091
K2o,108,0,11,0,11,0,11,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0
K2s,109,1,11,0,11,0,11,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0
K3o,110,0,10,0,11,1,10,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.09090909090909091,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.0
K3s,111,1,10,0,11,1,10,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.09090909090909091,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.09090909090909091
K4o,112,0,9,0,11,2,9,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.18181818181818182,0.25,0.9166666666666666,0.16666666666666666,0.0
