hand,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2
A4o,26.0,208.0,48.0,100.0,48.0,154.0,19.0,228.0,0.9122807017543859,0.6493506493506493,1.3506493506493507,0,0.2641911091755209,1.033355046022447
K4o,24.0,192.0,48.0,100.0,48.0,154.0,21.0,252.0,0.7619047619047619,0.6493506493506493,1.2467532467532467,0,0.5798437851893973,0.8441525515653935
Q4o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
J4o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
T4o,18.0,144.0,48.0,100.0,48.0,154.0,27.0,324.0,0.4444444444444444,0.6493506493506493,0.935064935064935,0,1.526801813231026,0.27654506819423236
94o,16.0,128.0,48.0,100.0,48.0,154.0,29.0,348.0,0.367816091954023,0.6493506493506493,0.8311688311688312,0,1.842454489244902,0.0873425737371787
84o,14.0,112.0,48.0,100.0,48.0,154.0,31.0,372.0,0.3010752688172043,0.6493506493506493,0.7272727272727273,0,2.158107165258778,-0.10185992071987501
74o,12.0,96.0,48.0,100.0,48.0,154.0,33.0,396.0,0.24242424242424243,0.6493506493506493,0.6233766233766234,0,2.4737598412726545,-0.2910624151769286
64o,10.0,80.0,48.0,100.0,48.0,154.0,35.0,420.0,0.19047619047619047,0.6493506493506493,0.5194805194805194,0,2.789412517286531,-0.4802649096339824
54o,8.0,64.0,48.0,100.0,48.0,154.0,37.0,444.0,0.14414414414414414,0.6493506493506493,0.4155844155844156,0,3.105065193300407,-0.6694674040910363
44o,4.0,32.0,25.0,100.0,25.0,76.0,0.0,0.0,32.0,1.3157894736842106,0.42105263157894735,1,-2.6407375229118855,-5.104589652600663
43s,4.0,32.0,47.0,100.0,47.0,50.0,41.0,164.0,0.1951219512195122,2.0,0.64,2,1.9351651736727429,-1.6775114265060667
42s,2.0,16.0,47.0,100.0,47.0,50.0,43.0,172.0,0.09302325581395349,2.0,0.32,2,2.1908052066487995,-1.8716952667991025
A3o,24.0,192.0,48.0,100.0,48.0,154.0,21.0,252.0,0.7619047619047619,0.6493506493506493,1.2467532467532467,0,0.5798437851893973,0.8441525515653935
K3o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
Q3o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
J3o,18.0,144.0,48.0,100.0,48.0,154.0,27.0,324.0,0.4444444444444444,0.6493506493506493,0.935064935064935,0,1.526801813231026,0.27654506819423236
T3o,16.0,128.0,48.0,100.0,48.0,154.0,29.0,348.0,0.367816091954023,0.6493506493506493,0.8311688311688312,0,1.842454489244902,0.0873425737371787
93o,14.0,112.0,48.0,100.0,48.0,154.0,31.0,372.0,0.3010752688172043,0.6493506493506493,0.7272727272727273,0,2.158107165258778,-0.10185992071987501
83o,12.0,96.0,48.0,100.0,48.0,154.0,33.0,396.0,0.24242424242424243,0.6493506493506493,0.6233766233766234,0,2.4737598412726545,-0.2910624151769286
73o,10.0,80.0,48.0,100.0,48.0,154.0,35.0,420.0,0.19047619047619047,0.6493506493506493,0.5194805194805194,0,2.789412517286531,-0.4802649096339824
63o,8.0,64.0,48.0,100.0,48.0,154.0,37.0,444.0,0.14414414414414414,0.6493506493506493,0.4155844155844156,0,3.105065193300407,-0.6694674040910363
53o,6.0,48.0,48.0,100.0,48.0,154.0,39.0,468.0,0.10256410256410256,0.6493506493506493,0.3116883116883117,0,3.420717869314283,-0.8586698985480897
43o,4.0,32.0,48.0,100.0,48.0,154.0,41.0,492.0,0.06504065040650407,0.6493506493506493,0.2077922077922078,0,3.7363705453281595,-1.0478723930051437
33o,2.0,16.0,25.0,100.0,25.0,76.0,0.0,0.0,16.0,1.3157894736842106,0.21052631578947367,1,-2.5060698965025945,-5.293097275891434
32s,0.0,0.0,47.0,100.0,47.0,50.0,45.0,180.0,0.0,2.0,0.0,2,2.4464452396248557,-2.0658791070921385
A2o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
K2o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
Q2o,18.0,144.0,48.0,100.0,48.0,154.0,27.0,324.0,0.4444444444444444,0.6493506493506493,0.935064935064935,0,1.526801813231026,0.27654506819423236
J2o,16.0,128.0,48.0,100.0,48.0,154.0,29.0,348.0,0.367816091954023,0.6493506493506493,0.8311688311688312,0,1.842454489244902,0.0873425737371787
T2o,14.0,112.0,48.0,100.0,48.0,154.0,31.0,372.0,0.3010752688172043,0.6493506493506493,0.7272727272727273,0,2.158107165258778,-0.10185992071987501
92o,12.0,96.0,48.0,100.0,48.0,154.0,33.0,396.0,0.24242424242424243,0.6493506493506493,0.6233766233766234,0,2.4737598412726545,-0.2910624151769286
82o,10.0,80.0,48.0,100.0,48.0,154.0,35.0,420.0,0.19047619047619047,0.6493506493506493,0.5194805194805194,0,2.789412517286531,-0.4802649096339824
72o,8.0,64.0,48.0,100.0,48.0,154.0,37.0,444.0,0.14414414414414414,0.6493506493506493,0.4155844155844156,0,3.105065193300407,-0.6694674040910363
62o,6.0,48.0,48.0,100.0,48.0,154.0,39.0,468.0,0.10256410256410256,0.6493506493506493,0.3116883116883117,0,3.420717869314283,-0.8586698985480897
52o,4.0,32.0,48.0,100.0,48.0,154.0,41.0,492.0,0.06504065040650407,0.6493506493506493,0.2077922077922078,0,3.7363705453281595,-1.0478723930051437
42o,2.0,16.0,48.0,100.0,48.0,154.0,43.0,516.0,0.031007751937984496,0.6493506493506493,0.1038961038961039,0,4.0520232213420355,-1.2370748874621973
32o,0.0,0.0,48.0,100.0,48.0,154.0,45.0,540.0,0.0,0.6493506493506493,0.0,0,4.367675897355912,-1.4262773819192514
22o,0.0,0.0,25.0,100.0,25.0,76.0,0.0,0.0,0.0,1.3157894736842106,0.0,1,-2.3714022700933026,-5.481604899182205
