hand,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
95o,-0.39,-0.11,-0.21,-0.28,-0.32,-0.25,-0.35,-0.38,-0.4,-0.02,-0.01,-0.02,-0.02,0.05,-0.01,-0.02,0.01,-0.27,-0.21,-0.24,-0.25,-0.26,-0.3,-0.26,-0.27,-0.28,-0.08,-0.03,-0.04,-0.07,-0.08,-0.08,-0.09,-0.04,-0.02,-0.02,-0.02,-0.03,-0.04,-0.02,-0.02,-0.02,0.0,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.01,-0.01,-0.02,-0.02,-0.02,-2.63159055902455,-1.2293068779141527
95s,-0.29,-0.05,-0.17,-0.2,-0.23,-0.15,-0.29,-0.26,-0.27,-0.08,-0.02,-0.05,-0.02,-0.03,-0.06,-0.03,-0.04,-0.23,-0.12,-0.15,-0.2,-0.2,-0.3,-0.18,-0.23,-0.17,-0.11,-0.09,-0.11,0.07,-0.09,-0.11,-0.07,-0.09,-0.1,-0.14,-0.13,-0.04,-0.05,-0.1,-0.14,-0.1,-0.09,-0.08,-0.1,-0.06,-0.11,-0.08,-0.08,-0.01,-0.04,-0.07,-0.06,-0.08,-2.7874122231643437,-0.1575204632831168
96o,-0.34,-0.08,-0.19,-0.25,-0.31,-0.26,-0.35,-0.34,-0.34,-0.03,-0.01,-0.02,-0.03,-0.06,-0.07,-0.05,-0.03,-0.29,-0.19,-0.23,-0.23,-0.26,-0.26,-0.28,-0.3,-0.25,-0.09,-0.04,-0.05,-0.08,-0.07,-0.07,-0.09,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.02,-0.03,-0.05,-0.02,-0.03,-0.02,-0.04,-0.03,-0.04,-0.04,0.01,0.0,-0.04,-0.02,-0.02,-2.698608348792893,-0.9877901943164954
96s,-0.22,0.04,-0.11,-0.15,-0.19,-0.14,-0.19,-0.22,-0.22,-0.03,0.0,-0.04,-0.03,-0.02,-0.04,-0.02,0.03,-0.18,-0.07,-0.07,-0.2,-0.12,-0.16,-0.11,-0.27,-0.22,-0.13,-0.04,-0.04,-0.07,-0.06,-0.03,-0.1,-0.09,-0.07,-0.09,0.01,-0.13,-0.1,-0.08,-0.08,0.04,-0.14,-0.06,-0.08,0.0,-0.05,-0.07,-0.07,-0.03,-0.02,-0.09,-0.1,-0.09,-2.127767947286015,0.32420292518072924
97o,-0.32,-0.05,-0.15,-0.2,-0.27,-0.26,-0.28,-0.27,-0.3,-0.06,-0.02,-0.02,-0.04,-0.02,-0.03,-0.04,-0.03,-0.22,-0.16,-0.19,-0.21,-0.2,-0.24,-0.22,-0.16,-0.25,-0.09,-0.03,-0.07,-0.05,-0.08,-0.09,-0.09,-0.03,-0.04,-0.06,-0.05,-0.04,-0.01,-0.03,-0.04,-0.03,-0.02,-0.04,-0.04,-0.02,-0.04,-0.04,-0.02,-0.05,-0.04,-0.03,-0.02,-0.04,-2.3983371453882625,-0.6299170861671651
97s,-0.13,0.05,0.03,-0.07,-0.09,-0.09,-0.08,-0.08,-0.17,0.04,0.13,0.06,0.02,0.0,0.09,-0.09,0.09,-0.17,-0.05,-0.05,-0.13,-0.17,-0.2,-0.06,-0.13,-0.17,0.03,0.0,-0.07,-0.11,-0.17,-0.01,-0.01,-0.07,-0.03,0.07,-0.02,-0.09,0.02,-0.05,-0.09,-0.09,-0.06,0.0,0.04,0.07,-0.01,-0.05,-0.07,0.01,-0.04,-0.01,-0.02,-0.13,-1.0482866491688185,0.5191134867070354
98o,-0.32,-0.04,-0.1,-0.15,-0.21,-0.2,-0.32,-0.3,-0.22,-0.09,-0.03,-0.04,-0.03,0.1,-0.06,-0.03,-0.06,-0.18,-0.1,-0.1,-0.15,-0.19,-0.19,-0.11,-0.17,-0.21,-0.1,-0.06,-0.08,-0.13,-0.09,-0.09,-0.14,-0.07,-0.05,-0.03,0.0,-0.05,-0.04,-0.08,-0.07,-0.08,-0.06,-0.06,-0.05,-0.05,-0.06,-0.05,-0.08,-0.04,-0.03,-0.05,-0.05,-0.04,-2.3381342052426293,-0.05584962228220589
98s,-0.18,0.08,0.05,0.03,-0.05,-0.07,-0.13,-0.01,-0.11,0.09,0.16,0.12,0.06,0.04,0.1,0.0,0.04,-0.03,0.03,-0.04,-0.06,-0.05,-0.08,-0.1,-0.11,-0.08,-0.11,0.09,-0.03,0.02,0.0,0.06,-0.03,-0.05,0.11,0.1,0.08,0.05,0.08,-0.15,-0.01,-0.04,0.0,0.0,-0.11,0.13,0.03,0.01,0.04,-0.08,-0.1,0.06,0.02,0.05,0.009759704677773602,0.852100601935868
99o,0.16,0.47,0.44,0.47,0.39,0.14,0.25,0.23,0.19,0.23,0.62,0.64,0.62,0.39,0.33,0.41,0.31,0.18,0.53,0.46,0.44,0.4,0.14,0.27,0.3,0.19,0.31,0.59,0.46,0.26,0.45,0.29,0.32,0.15,0.53,0.45,0.43,0.37,0.31,0.31,0.46,0.35,0.28,0.23,0.35,0.65,0.38,0.34,0.25,0.2,0.33,0.27,0.33,0.27,8.777842529541914,2.575352163735899
A2o,-0.35,-0.01,-0.13,-0.19,-0.26,-0.27,-0.23,-0.31,-0.33,-0.14,0.01,-0.04,-0.12,-0.09,-0.12,-0.12,-0.11,-0.27,-0.09,-0.12,-0.19,-0.2,-0.31,-0.29,-0.27,-0.27,-0.16,-0.08,-0.14,-0.22,-0.11,-0.16,-0.16,-0.14,-0.1,-0.07,-0.03,-0.1,-0.14,-0.16,-0.08,-0.14,-0.14,-0.14,-0.14,-0.12,-0.09,-0.13,-0.12,-0.14,-0.11,-0.09,-0.08,-0.06,-3.6121791830479864,0.3978817573908417
A2s,-0.13,0.09,0.04,-0.04,-0.04,-0.13,-0.13,-0.02,-0.04,0.11,0.13,0.12,0.07,-0.1,0.27,0.11,0.06,-0.12,0.07,0.01,-0.04,-0.05,-0.05,-0.14,-0.05,-0.13,-0.01,0.06,-0.02,-0.01,-0.05,0.0,-0.07,-0.04,0.03,-0.14,0.02,0.0,0.07,0.06,0.09,-0.03,0.07,-0.05,0.03,-0.15,0.05,-0.07,0.03,0.02,-0.02,-0.1,0.05,0.0,-0.09689036736436923,0.7985031083859503
A3o,-0.34,0.0,-0.05,-0.18,-0.22,-0.23,-0.27,-0.2,-0.27,-0.1,0.0,-0.06,-0.05,-0.08,-0.15,-0.11,-0.11,-0.28,-0.05,-0.13,-0.16,-0.19,-0.17,-0.23,-0.27,-0.26,-0.17,-0.05,-0.13,-0.17,-0.15,-0.1,-0.12,-0.11,-0.1,-0.15,-0.11,-0.12,-0.12,-0.12,-0.03,-0.09,-0.15,-0.12,-0.12,-0.07,-0.09,-0.1,-0.09,-0.1,-0.1,-0.11,-0.1,-0.12,-3.2140753921665293,0.5734299000233817
A3s,0.02,0.16,0.01,-0.01,-0.06,0.13,-0.11,-0.12,-0.11,0.05,0.19,0.12,0.09,0.08,0.06,0.01,0.07,-0.12,0.12,0.01,0.04,0.0,-0.04,-0.09,-0.06,-0.09,-0.06,0.13,0.03,-0.04,-0.05,0.06,0.01,0.06,0.06,0.0,0.1,0.0,0.07,0.11,0.08,0.0,-0.01,-0.02,-0.09,0.03,-0.03,-0.01,-0.07,-0.08,-0.01,0.11,-0.03,0.0,0.3681216500771805,1.1941793738920286
A4o,-0.3,0.03,-0.05,-0.16,-0.2,-0.08,-0.23,-0.26,-0.3,-0.1,0.02,-0.05,-0.07,-0.03,-0.1,-0.08,-0.09,-0.27,-0.02,-0.12,-0.15,-0.2,-0.22,-0.22,-0.24,-0.24,-0.13,-0.08,-0.12,-0.17,-0.18,-0.15,-0.11,-0.1,-0.09,-0.11,-0.13,-0.07,-0.13,-0.15,-0.01,-0.09,-0.09,-0.12,-0.13,-0.09,-0.12,-0.12,-0.08,-0.09,-0.08,-0.1,-0.09,-0.1,-2.9915820830337814,0.7188411870208778
